codeintervention,niveau,lieu,longitude,latitude,probleme,imagepro1,imagepro2,solution,piecejointe,datedebrepa,datefinrepa,reparation,imagerepa1,imagerepa2,motif,record,agentresponsable,agentoperationnel,agentreparation,codecintervention,codeprojet,datecreated,dateupdated,etat,card,ord,motifsuspension,operateur,codesoustraitant,datedeb,duree,dateinterv,imagepro3,imagepro4,imagepro5,imagepro6,imagepro7,imagepro8,imagepro9,imagepro10,imagerepa3,imagerepa4,imagerepa5,imagerepa6,imagerepa7,imagerepa8,imagerepa9,imagerepa10,timecreated,timeupdated,timedebrepa,timefinrepa,timedeb,timeinterv
intrv101020240000001,False,Douala,0,0,Recyclage sm1,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000001,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,56,,0.0,,2024-10-18,04:00:00,2024-10-18,,,,,,,,,,,,,,,,,07:59:00,08:01:18,,,07:00:00,11:00:00
intrv101020240000002,False,Douala,0,0,Recyclage sm3,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,57,,0.0,,2024-10-20,04:00:00,2024-10-20,,,,,,,,,,,,,,,,,08:00:05,08:02:05,,,07:00:00,11:00:00
intrv101020240000003,False,Douala,0,0,recyclage sm2,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000001,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,58,,0.0,,2024-10-22,04:00:00,2024-10-22,,,,,,,,,,,,,,,,,08:04:48,08:05:28,,,07:00:00,11:00:00
intrv101020240000004,False,Kribi,0,0,recyclage,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000002,2024-10-10,2024-10-10,2,0,59,,0.0,,2024-10-22,04:00:00,2024-10-22,,,,,,,,,,,,,,,,,08:06:08,08:07:25,,,07:00:00,11:00:00
intrv101020240000005,False,Kribi,0,0,Recyclage,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000002,2024-10-10,2024-10-10,2,0,60,,0.0,,2024-10-22,04:00:00,2024-10-22,,,,,,,,,,,,,,,,,08:06:37,08:08:50,,,07:00:00,11:00:00
intrv101020240000006,False,Kribi,0,0,Recyclage,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000001,cintr128202400000001,projt572024000000002,2024-10-10,2024-10-10,2,0,61,,0.0,,2024-10-24,04:00:00,2024-10-24,,,,,,,,,,,,,,,,,08:08:10,08:09:41,,,07:00:00,11:00:00
intrv101020240000007,False,Douala,0,0,intrusion avec pirogue,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000001,cintr992024000000001,projt572024000000001,2024-10-10,2024-10-10,2,0,62,,0.0,,2024-10-19,04:00:00,2024-10-20,,,,,,,,,,,,,,,,,08:11:38,08:12:18,,,23:00:00,03:00:00
intrv101020240000008,False,Kribi,0,0,intrusion,,,,,NaT,NaT,,,,,,,agent572024000000001,,cintr992024000000001,projt572024000000002,2024-10-10,NaT,1,0,63,,,,NaT,,NaT,,,,,,,,,,,,,,,,,08:13:46,,,,,
intrv101020240000009,False,Douala,0,0,reclycage,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,64,,0.0,,2025-01-07,04:00:00,2025-01-07,,,,,,,,,,,,,,,,,11:42:18,11:43:10,,,08:00:00,12:00:00
intrv101020240000010,False,Douala,0,0,recyclage shift 1,,,,,NaT,NaT,,,,,,agent572024000000001,agent572024000000001,agent572024000000002,cintr128202400000001,projt572024000000001,2024-10-10,2024-10-10,2,0,65,,0.0,,2025-02-13,04:00:00,2025-02-13,,,,,,,,,,,,,,,,,11:50:33,12:12:14,,,08:00:00,12:00:00
