codevehicule,nom,fabricant,immat,observ,statut,motif,vidange,marge,total,image,image_avant,image_droite,image_gauche,descr,codetvehicule,codecvehicule,codesecteur,datecreated,dateupdated,etat,card,ord,image_arriere,pvidange,datelimassur,datelimvisite,datelimcarteg,datelimstat,fichier1,fichier2,fichier3,fichier4,fichier5,fichier6,fichier7,fichier8,details,position,longitude,latitude,prixpjour,prixpheure,prixpkm,location,reservation,dpc,garage,transmat,agentchauffeur,timecreated,timeupdated
vehic128202400000001,DUSTER 140,DUSTER,CE 845 MC,,1,,17085,200,1001,binary data,,,,RAS,tvehi294202400000001,cvehi294202400000001,,2024-08-12,2024-08-12,1,0,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:33:01,19:09:43
vehic128202400000002,DUSTER 130,DUSTER,CE 838 MC,,1,,10000,200,1002,binary data,,,,RAS,tvehi294202400000001,cvehi294202400000001,,2024-08-12,2024-08-12,1,0,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:33:01,19:09:13
vehic128202400000003,HILUX 110,TOYOTA,CE 157 LD,,1,,74773,200,1800,binary data,,,,RAS,tvehi294202400000002,cvehi294202400000001,,2024-08-12,2024-08-12,2,3,83,,799.0,,,,,,,,,,,,,,,,,,,,,,,,,,18:33:01,19:07:43
vehic128202400000004,HILUX 100,TOYOTA,CE 155 LD,,1,,63090,200,1500,binary data,,,,RAS,tvehi294202400000002,cvehi294202400000001,,2024-08-12,2024-08-12,2,1,84,,496.0,,,,,,,,,,,,,,,,,,,,,,,,,,18:33:01,19:07:15
vehic128202400000005,HILUX 120,TOYOTA,CE 153 LD,collision,2,,55776,200,1200,binary data,,,,RAS,tvehi294202400000002,cvehi294202400000001,,2024-08-12,2024-08-12,2,4,85,,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,18:33:01,19:06:49
vehic128202400000006,LAND CRUISER 50,TOYOTA,CE 304 LR,,1,,102226,200,1006,binary data,,,,RAS,tvehi294202400000002,cvehi294202400000001,,2024-08-12,2024-08-12,1,0,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:33:01,19:05:16
vehic128202400000007,LAND CRUISER 60,TOYOTA,CE 156 LD,ABS et L'anti patinage s'affichent sur le tableau de bord.le gyrophare hs,3,,105528,200,106631,binary data,,,,RAS,tvehi294202400000002,cvehi294202400000001,,2024-08-12,2024-08-12,2,9,87,,105624.0,,,,,,,,,,,,,,,,,,,,,,,,,,18:33:01,19:04:48
vehic128202400000008,LAND CRUISER 80,TOYOTA,CE 800 MF,,1,,51242,200,1008,binary data,,,,RAS,tvehi294202400000002,cvehi294202400000001,,2024-08-12,2024-08-12,1,1,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:33:01,19:04:20
vehic128202400000009,LAND CRUISER 40,TOYOTA,CE 154 LD,,1,,92896,200,1009,binary data,,,,RAS,tvehi294202400000002,cvehi294202400000001,,2024-08-12,2024-08-12,1,0,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:33:01,19:03:51
vehic128202400000010,LAND CRUISER 70,TOYOTA,CE 160 LD,,1,,120337,200,1010,binary data,,,,RAS,tvehi294202400000002,cvehi294202400000001,,2024-08-12,2024-08-12,1,0,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:33:01,19:03:13
